umap_x,umap_y,job_title,job_description,source
5.839937,6.727041,Family and Marriage Counsellor,"Assists individuals, couples and families with marriage and relationship difficulties. May work in a call centre.",government
6.3491707,7.4406214,Rehabilitation Counsellor,"Assists physically, mentally and socially disadvantaged people to reintegrate into work and the community.",government
6.9282207,6.4080544,Student Counsellor,"Provides information and assistance to students, parents and teachers about a wide range of matters such as students' personal problems, learning difficulties and special requirements.",government
5.930187,7.43652,Clinical Psychologist,"Consults with individuals and groups, assesses psychological disorders and administers programs of treatment. Registration or licensing is required.",government
6.005405,7.0842075,Educational Psychologist,"Investigates learning and teaching, and develops psychological techniques to foster the development and skills of individuals and groups in educational settings. Registration or licensing is required.",government
4.7936873,7.7067943,Organisational Psychologist,"Applies psychological principles and techniques to study occupational behaviour, working conditions and organisational structure, and solve problems of work performance and organisational design. Registration or licensing is required.",government
5.185522,6.5675764,Historian,Researches the history of human activity and prepares accounts of findings.,government
6.119255,6.8754954,Interpreter,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation.",government
6.1040606,6.7461877,Translator,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants requiring the translation.",government
4.8667064,7.7453375,Recreation Officer,"Plans, organises and coordinates recreation facilities and programs through organisations such as local governments, schools, church bodies and youth organisations.",government
6.180829,7.0702534,Welfare Worker,"Assists individuals, families and groups with social, emotional or financial difficulties to improve quality of life, by educating and supporting them and working towards change in their social environment.",government
3.1112995,7.118012,Anaesthetic Technician,"Prepares and maintains anaesthetic equipment for operating theatres or clinics, and assists Anaesthetists during anaesthetic procedures.",government
5.330674,9.4627075,Cardiac Technician,"Conducts tests on patients to record heart activity using specialised equipment, recording devices and laboratory instruments in support of Cardiologists and other Medical Practitioners engaged in diagnosing, monitoring and treating heart disease.",government
5.383581,9.517461,Medical Laboratory Technician,Performs routine medical laboratory tests and operates diagnostic laboratory equipment under the supervision of Medical Laboratory Scientists and Pathologists. Registration or licensing may be required.,government
3.0122986,7.127721,Operating Theatre Technician,"Prepares and maintains an operating theatre and its equipment, assists the surgical team during operations and provides support to patients in the recovery room.",government
3.8891702,7.7749877,Pharmacy Technician,"Fills and labels patients' prescriptions under the supervision of a Pharmacist. May record details of, place orders for, take stock of, and store medications and medical supplies and deliver them to patients.",government
5.1440673,9.281793,Pathology Collector,"Extracts, collects, labels and preserves blood and other specimens from patients for laboratory analysis.",government
2.8253307,9.132222,Chemistry Technician,"Performs laboratory tests on organic and inorganic chemicals, analyses test data and carries out technical functions in support of Chemists or Chemical Engineers in a wide variety of areas such as fuels, agricultural products, food, pharmaceuticals, paints, metals, plastics, textiles, detergents, paper, fertilisers and cosmetics.",government
3.0435095,8.765842,Earth Science Technician,"Collects and tests earth and water samples, records observations and analyses data in support of Geologists or Geophysicists.",government
4.3826957,9.122354,Life Science Technician,Identifies and collects living organisms and conducts field and laboratory studies in support of Life Scientists or Environmental Scientists.,government
1.6999009,8.329776,Architectural Draftsperson,"Completes Architects' concepts by preparing drawings and plans, and liaising with builders and contractors.",government
1.6321032,8.841036,Building Associate,"Supervises construction sites, and organises and coordinates the material and human resources required. Registration or licensing may be required.",government
1.420349,8.643,Building Inspector,Inspects buildings to ensure compliance with laws and regulations and advises on building requirements. Registration or licensing may be required.,government
1.7587842,8.821455,Construction Estimator,Prepares and delivers estimates and cost plans for construction projects up to the tender settlement stage.,government
3.5156863,8.6602745,Surveying or Spatial Science Technician,"Collects, records and evaluates spatial information and prepares databases, maps, charts and plans in support of Surveyors, Cartographers or Other Spatial Scientists. Registration or licensing may be required.",government
2.6961002,8.173783,Civil Engineering Draftsperson,Prepares detailed drawings and plans for civil engineering work in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.,government
2.7955782,8.193346,Civil Engineering Technician,"Conducts tests of construction materials, prepares sketches and tabulations, and assists in estimating costs in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.",government
2.436613,8.1168165,Electrical Engineering Draftsperson,Prepares detailed drawings and plans of electrical installations and circuitry in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required.,government
2.5539896,8.107638,Electrical Engineering Technician,"Conducts tests of electrical systems, prepares charts and tabulations, and assists in estimating costs in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required.",government
2.4703805,8.118075,Mechanical Engineering Draftsperson,Prepares detailed drawings and plans of mechanical engineering work in support of Mechanical Engineers and Engineering Technologists.,government
2.301416,7.9557233,Mechanical Engineering Technician,"Conducts tests of mechanical systems, collects and analyses data, and assembles and installs mechanical assemblies in support of Mechanical Engineers and Engineering Technologists.",government
2.628898,6.6624804,Hardware Technician,"Supports and maintains computer systems and peripherals by installing, configuring, testing, troubleshooting, and repairing hardware.",government
5.119395,5.97429,ICT Customer Support Officer,"Provides support, education and guidance in the deployment and maintenance of computer infrastructure and the diagnosis and resolution of technical problems and issues. May work in a call centre.",government
2.7789745,6.207603,Web Administrator,"Designs, builds and maintains websites, and provides web technology solutions and services.",government
1.2431943,7.346327,Motor Mechanic  ,"Maintains, tests and repairs petrol engines and the mechanical parts of lightweight motor vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required.",government
1.0667672,7.3134003,Diesel Motor Mechanic,"Maintains, tests and repairs diesel motors and the mechanical parts of trucks, buses and other heavy vehicles such as transmissions, suspension, steering and brakes. Registration or licensing may be required.",government
1.4379761,7.5481396,Motorcycle Mechanic,"Maintains, tests and repairs the mechanical parts of motorcycles. Registration or licensing may be required.",government
1.6068294,7.446637,Small Engine Mechanic,"Maintains, tests and repairs engines of chainsaws, lawn mowers, garden tractors and other equipment with small engines. Registration or licensing may be required.",government
0.12373427,7.4254103,Metal Fabricator,Marks off and fabricates structural steel and other metal stock to make or repair metal products and structures such as boilers and pressure vessels.,government
0.18000303,7.4242415,Welder,Fabricates and repairs metal products using various welding techniques.,government
2.2236738,7.4673033,Aircraft Maintenance Engineer (Avionics),"Inspects, tests, aligns, repairs and installs aircraft electrical and avionic system components. Registration or licensing may be required.",government
2.0813282,7.698981,Aircraft Maintenance Engineer (Mechanical),"Inspects, tests, repairs and installs aircraft hydromechanical and flight system components and aircraft engines, subassemblies and components. Registration or licensing may be required.",government
0.5007746,7.690593,Fitter  ,Fits and assembles metal parts and subassemblies to fabricate production machines and other equipment.,government
0.26388365,7.6220593,Metal Machinist ,"Sets up and operates machine tools to shape and form metal stock and castings to fine tolerances, using detailed drawings and specifications.",government
2.3113792,6.8803678,Locksmith,Installs and maintains locks and related security devices and systems. Registration or licensing is required.,government
1.1993093,6.562619,Precision Instrument Maker and Repairer,"Assembles, calibrates, installs and overhauls mechanical precision instruments and equipment.",government
0.92149156,6.551697,Watch and Clock Maker and Repairer,"Makes, repairs, cleans and adjusts watches and clocks.",government
2.440919,7.719488,Engineering Patternmaker,"Constructs full-size engineering models usually made out of timber, which are used in manufacturing to produce metal castings, copy models, vacuum form tooling and tooling for the automotive, aircraft or fibreglass industries.",government
0.4767838,7.5580673,Toolmaker,"Makes and repairs tools, dies, jigs, fixtures and other precision parts and equipment to fine tolerances for machine tools and other production machinery.",government
0.9350882,8.775994,Bricklayer,"Lays bricks, pre-cut stone and other types of building blocks in mortar to construct and repair walls, partitions, arches and other structures. Registration or licensing may be required.",government
0.7145564,8.597399,Stonemason,Cuts and shapes hard and soft stone blocks and masonry slabs to construct and renovate stone structures and monumental masonry. Registration or licensing may be required.,government
0.9758959,8.796944,Carpenter,"Constructs, erects, installs, renovates and repairs structures and fixtures of wood, plywood, wallboard and other materials. Registration or licensing may be required.",government
0.678603,8.195677,Joiner,"Cuts, shapes and fits timber parts in workshops to form structures and fittings, ready for installation. Registration or licensing may be required.",government
1.0424668,8.622575,Fibrous Plasterer,"Applies and fixes plasterboard partitions, suspended ceilings, fire rating systems, acoustic tiles, and composite wall linings to buildings. Registration or licensing may be required.",government
1.0681882,8.659925,Solid Plasterer,"Applies decorative and protective coverings of plaster, cement and similar materials to the interiors and exteriors of structures. Registration or licensing may be required.",government
2.1455336,7.2868853,Plumber  ,"Installs and repairs water, drainage, gas and sewerage pipes and systems. Registration or licensing is required.",government
2.3414745,6.945059,Drainer,"Installs, maintains and designs below-ground drainage systems and associated sewerage or effluent disposal systems. Registration or licensing is required.",government
2.3260505,7.3753266,Gasfitter,"Installs, maintains and repairs gas mains, piping systems downstream of the billing meter, and appliances and ancillary equipment associated with the use of fuel gases, including liquefied petroleum gas systems. Registration or licensing is required.",government
1.1212989,8.034884,Roof Plumber,"Installs, maintains and repairs flashings, metallic roof and wall claddings and rainwater products such as gutters and downpipes. Registration or licensing is required.",government
1.7416075,7.369807,Lift Mechanic,"Designs, installs, maintains, services and repairs electric and hydraulic passenger and freight lifts, escalators, moving walkways and other lift equipment. Registration or licensing is required.",government
1.6133332,6.9255548,Business Machine Mechanic,"Installs, maintains and repairs electronic business equipment such as multi-function devices, photocopiers, scanners, fax machines and cash registers.",government
1.9180436,5.2923055,Communications Operator,Transmits and receives radio messages by use of  voice and radio teletype.,government
1.9859307,6.763991,Electronic Equipment Trades Worker,"Installs, maintains and repairs electronic equipment and systems such as audio and visual reproduction equipment, home entertainment systems, computers and electronic security systems.",government
1.711896,6.698499,Electronic Instrument Trades Worker  ,"Installs, modifies, maintains and repairs electronic instruments and control systems. Registration or licensing may be required.",government
1.8496413,6.402378,Telecommunications Linesworker,"Installs, maintains and repairs external telecommunication equipment such as aerial lines, conduits and underground cables, radio and mobile phone antennae, and limited items of terminal equipment.",government
0.7482511,7.734958,Pet Groomer,"Washes, dries, brushes, combs, cuts and styles pets' coats, clips their nails and cleans their ears.",government
3.537616,9.646078,Arborist,"Maintains and cares for trees and shrubs by lopping limbs and shaping branches, treating trees with fertilisers and insecticides, removing dead or decaying trees, and advising on general tree care.",government
0.55494416,8.293281,Print Finisher,"Binds books and other publications, and finishes printed products by hand or machine.",government
2.209891,5.7060423,Screen Printer,"Prepares stencils, and sets up and operates power-driven or hand-operated screen print equipment.",government
0.51297295,7.328801,Clothing Patternmaker,"Draws sets of master patterns following sketches, sample articles and design specifications, and cuts out patterns for garments.",government
0.5881738,6.806711,Dressmaker or Tailor,"Makes, alters and repairs women's and men's tailored garments, formal wear, couturier clothing, and special occasion wear such as suits, dresses, coats, evening wear and bridal wear.",government
1.0328084,7.9507375,Furniture Finisher,"Applies finishes, such as stain, lacquer, paint, oil and varnish, to furniture, and polishes and waxes finished furniture surfaces.",government
0.35492346,8.081238,Wood Machinist,"Cuts, planes, turns, shapes and sands wood stock to specifications.",government
2.2656426,8.53536,Gas or Petroleum Operator,"Operates equipment to pump oil and gas from wellheads, and refine and process petroleum products.",government
2.332657,9.380674,Power Generation Plant Operator,"Operates boilers, turbogenerators and associated plant to generate electrical power. Registration or licensing is required.",government
4.845634,8.327465,Gallery or Museum Technician,"Prepares artworks, specimens and artefacts for collections, and arranges and constructs gallery or museum exhibits.",government
3.3282118,7.1143727,Library Technician,Assists Librarians and other information managers in organising and operating systems for handling recorded material and files.,government
1.7882324,5.1855526,Broadcast Transmitter Operator,Operates consoles to control radio or television broadcast transmitters.,government
1.8040869,5.1992364,Camera Operator ,"Sets up and operates cameras to photograph scenes for film, television or video productions.",government
0.6420892,6.394296,Make Up Artist,"Designs and applies make up to actors, presenters and other performing artists.",government
1.1851854,6.4930873,Musical Instrument Maker or Repairer,"Builds, repairs and restores musical instruments, and modifies and tunes them to owners' specifications.",government
1.8939363,5.132545,Sound Technician,"Operates audio equipment to record, enhance, mix and amplify sound in support of television, radio, film or video productions, or stage performances.",government
1.6635458,8.889833,Diver,"Swims underwater to undertake tasks such as seafood gathering, research, salvage and construction. Registration or licensing may be required.",government
5.36939,8.905372,Optical Dispenser,"Interprets optical prescriptions, and fits and services optical appliances such as spectacle frames and lenses. Registration or licensing may be required.",government
5.7425556,8.839565,Dental Hygienist,Carries out preventative dental procedures under the direction of a Dentist. Registration or licensing is required.,government
5.451014,8.932823,Dental Technician,Constructs and repairs dentures and other dental appliances. Registration or licensing may be required.,government
5.9766006,8.8289795,Dental Therapist,"Examines and treats diseases of the teeth in preschool, primary and secondary school children under the general supervision of a Dentist. Registration or licensing is required.",government
6.94026,8.1546545,Enrolled Nurse,"Provides nursing care to patients in a variety of health, aged care, welfare and community settings under the supervision of Registered Nurses. Registration or licensing is required.",government
7.0497003,8.025584,Mothercraft Nurse,"Provides care to newborn infants, and provides advice and training on infant care to parents of newborn infants. Registration or licensing is required.",government
6.236086,7.72901,Community Worker,"Facilitates community development initiatives and collective solutions within a community to address issues, needs and problems associated with recreational, health, housing, employment and other welfare matters.",government
6.526175,7.535755,Disabilities Services Officer,"Works in a range of service units which provide education and community access to people with intellectual, physical, social and emotional disabilities.",government
5.9093976,6.77471,Family Support Worker,Assists the work of Social Workers and Welfare Workers by providing services and support to families.,government
4.0679173,7.3363194,Parole or Probation Officer,Supervises offenders who have been placed on probation by court order or released conditionally from corrective service institutions.,government
7.1037908,7.854713,Residential Care Officer,Provides care and supervision for children or disabled persons in group housing or institutional care.,government
6.1662803,7.1342173,Youth Worker,"Assists young people as individuals or groups to solve social, emotional and financial problems in an agency framework.",government
6.9950066,7.723146,Child Care Worker,"Provides care and supervision for children in programs, such as long day care and occasional care, in childcare centres, hospitals and educational centres. Registration or licensing may be required.",government
6.9598594,7.526834,Nanny,"Assists parents in the provision of ongoing care and supervision for babies and children, usually in the child's home.",government
6.8432536,7.178588,Integration Aide,Assists children with developmental disabilities in mainstream schools.,government
6.8619666,8.2359085,Hospital Orderly,"Assists with the provision of care to patients in a hospital by ensuring wards are neat and tidy, lifting and turning patients and transporting them in wheelchairs or on movable beds, and providing direct care and support.",government
7.0241847,8.292346,Nursing Support Worker,Provides limited patient care under the direction of nursing staff.,government
7.137431,7.9572735,Personal Care Assistant,Provides routine personal care services to people in a range of health care facilities or in a person's home.,government
6.460458,8.218441,Therapy Aide,"Assists therapists in providing therapy programs and in the direct care of their patients in a variety of health, welfare and community settings. Registration or licensing may be required.",government
3.4191697,4.962065,Bar Attendant,"Prepares, mixes and serves alcoholic and non-alcoholic drinks to patrons in a bar in a licensed establishment.",government
3.630226,4.920581,Barista,"Prepares and serves espresso coffee and other hot beverages to patrons in a cafe, coffee shop, restaurant or dining establishment.",government
3.8209028,5.577743,Doorperson or Luggage Porter,"Assists guests in an accommodation establishment or passengers in a transport terminal by attending to and carrying luggage, welcoming and escorting guests, and attending to their general needs on arrival and departure.",government
3.3007407,6.2112203,Emergency Service Worker,Attends the scene of emergencies to minimise risk to community safety and security.,government
1.3562137,8.3517065,Fire Fighter,"Responds to fire alarms and emergency calls, controls and extinguishes fires, and protects life and property. Registration or licensing is required.",government
4.337879,7.2153454,Detective,"Investigates serious crimes, such as terrorism, homicide, armed robbery, vice and arson, and gathers evidence to arrest and prosecute suspected offenders.",government
4.205985,7.269131,Police Officer,"Maintains public order, and enforces laws by investigating crimes, patrolling public areas and arresting suspected offenders.",government
5.7074575,6.0075707,Private Investigator,Conducts investigations for clients and prepares evidence for court proceedings. Registration or licensing is required.,government
4.467259,5.237081,Retail Loss Prevention Officer,"Detects and investigates shoplifting, fraud and other unlawful acts of employees or customers of a retail establishment. Registration or licensing may be required.",government
3.3890572,6.3880277,Security Consultant,"Advises clients on security requirements, and recommends and designs security specifications. Registration or licensing may be required.",government
2.8708975,7.6916914,Security Officer,"Patrols and guards industrial and commercial property, railway yards, stations and other facilities. Registration or licensing may be required.",government
5.151862,5.6840696,Travel Consultant,"Plans travel, accommodation and associated arrangements for clients and makes travel bookings. May work in a call centre.",government
1.190882,5.685579,Sports Umpire,"Officiates at sporting events, such as netball, hockey, football, basketball, cricket, boxing and wrestling matches, by interpreting and enforcing match rules. Registration or licensing is required.",government
0.9668178,4.600057,Lifeguard,"Looks after the safety of people at beaches or swimming pools through accident prevention and rescue, and educating the public on water safety. This occupation requires high levels of physical fitness, sporting ability and personal commitment as well as, or in place of, formal qualifications or experience. Registration or licensing is required.",government
3.337096,7.044766,Contract Administrator,"Prepares, interprets, maintains, reviews and negotiates variations to contracts on behalf of an organisation.",government
4.767827,7.415417,Program or Project Administrator,"Plans and undertakes administration of organisational programs, special projects and support services.",government
5.746464,7.6458583,Health Practice Manager,Organises and controls the functions and resources of a health practice such as administrative systems and practice personnel.,government
4.721617,7.7438617,Secretary  ,"Performs secretarial, clerical and other administrative tasks in support of Managers and Professionals.",government
4.973453,7.746702,Legal Secretary,"Performs secretarial, clerical and other administrative tasks in support of Legal Professionals applying knowledge of legal terminology, procedures and documents.",government
1.7313873,8.123581,Data Entry Operator,"Operates a keyboard to input and transfer data into a computer for storage, processing and transmission.",government
1.5995591,8.201458,Word Processing Operator,"Operates a computer to type, edit and generate a variety of documents and reports.",government
5.378768,6.024055,Call or Contact Centre Team Leader,"Oversees and determines work requirements, monitors telephone calls, coaches and allocates duties to Call or Contact Centre Operators.",government
5.0101957,5.9148154,Call or Contact Centre Operator,"Answers customer telephone, Internet and email inquiries about goods and services, and promotes the goods and services.",government
5.050371,6.0433383,Receptionist  ,"Greets clients and visitors, and responds to personal, telephone, email and written inquiries and requests.",government
5.037096,6.042295,Admissions Clerk,Records and processes information required for the admission and discharge of hospital patients and responds to telephone inquiries.,government
3.9504678,5.446312,Hotel or Motel Receptionist,"Greets and checks in guests, and looks after their needs on arrival and during their stay in a hotel or motel.",government
5.1975737,6.2328157,Medical Receptionist,"Greets patients and other clients in a health facility, such as a clinic, practice, centre or surgery, and responds to personal, telephone and written inquiries and requests.",government
5.3900776,5.988668,Accounts Clerk,"Monitors creditor and debtor accounts, and undertakes related routine documentation. May work in a call centre.",government
3.032168,8.323114,Cost Clerk,"Calculates and investigates the cost of wages, materials, overheads and other operating expenses.",government
5.3543425,5.931682,Insurance Consultant,Prepares and checks documentation associated with insurance. May work in a call centre.,government
4.090076,7.1057568,Statistical Clerk,Compiles data and undertakes statistical and actuarial computations.,government
2.7670853,6.329417,Courier,"Delivers goods, documents, messages, samples, x-rays and test results.",government
1.9979143,7.038776,Postal Delivery Officer,"Delivers mail on foot, by bicycle or by motorised transport over allocated delivery rounds.",government
3.6811955,7.345897,Mail Clerk,"Collects, sorts and despatches mail within an organisation.",government
2.5455558,7.314911,Meter Reader,"Reads electric, gas or water meters, records usage, inspects meters and connections for defects and damage, and reports irregularities.",government
1.0994759,7.6173277,Parking Inspector,Patrols assigned areas and issues parking infringement notices to owners of vehicles that are illegally parked.,government
3.8451703,7.6520405,Production Clerk,"Records and coordinates the flow of work and materials between departments, examines orders for goods, and prepares production schedules.",government
3.9322653,7.337196,Purchasing Officer,"Prepares purchase orders, monitors supply sources and negotiates contracts with suppliers.",government
3.8207924,7.6857476,Stock Clerk,"Monitors stock levels and maintains stock, order and inventory records.",government
3.687143,7.190647,Warehouse Administrator,Administers and coordinates storage and distribution operations within an organisation.,government
3.9403677,7.4508276,Order Clerk,Receives and processes incoming orders for goods and services from inside or outside an organisation.,government
3.3951828,7.4587426,Customs Officer,"Administers and enforces customs and related legislation, and assists with customs control of overseas passengers, crew, aircraft, ships, cargo, mail and bond stores.",government
4.9997816,7.7036214,Immigration Officer,"Examines and assesses the entry of people from other countries, administers visas and residency applications according to immigration legislation, rules and policies, and, where necessary, uses legal powers to detain and remove illegal entrants.",government
4.5009336,7.1329584,Taxation Inspector,"Inspects and assesses taxation returns to ensure compliance with government legislation, and investigates suspected breaches of taxation legislation.",government
1.9131067,6.8396797,Transport Operations Inspector,"Monitors scheduled train, tram and bus services and investigates accidents, complaints and service disruptions.",government
2.7109184,7.127339,Proof Reader,"Reads draft copies and proofs, detects errors and marks corrections to grammar, typing and composition.",government
2.2342362,5.424845,Radio Despatcher,"Provides radio and communications services for the coordination of operational units in transport, courier, military, emergency, security, rescue and road service organisations. Registration or licensing may be required.",government
5.5338664,7.6182117,Clinical Coder,"Assigns codes to narrative descriptions of patients' diseases, operations and procedures in accordance with recognised classification systems to allow for easy storage, retrieval and analysis of health data.",government
4.4436307,7.9961076,Facilities Administrator,"Provides assistance to ensure the day-to-day smooth operation of a building's infrastructure, through administrative support, including budgeting, procurement negotiation, contractor liaison and documentation, as well as coordination of staff and office equipment during relocation, and at times supervision and physical assistance with maintenance tasks.",government
2.1621258,8.227916,Property Manager,Supervises the leasing of rental properties on behalf of owners. Registration or licensing may be required.,government
3.9983525,6.0245905,Real Estate Agent,"Coordinates the activities of real estate representatives in selling and leasing real estate, ensuring compliance with legislative requirements. Registration or licensing is required.",government
4.0445623,5.981708,Real Estate Representative,"Arranges the conduct of real estate transactions such as sales and leasing, and assists buyers to find suitable properties, on behalf of an agency. Registration or licensing is required.",government
1.0658476,7.1526384,Motor Vehicle or Caravan Salesperson,"Sells new and used motor cars, motor cycles, trucks, boats, caravans and earthmoving equipment in a retail or wholesale establishment.",government
0.93776226,7.263653,Motor Vehicle Parts Interpreter,Sells motor vehicle accessories and parts in a retail or wholesale establishment.,government
3.0415745,7.9449234,Materials Recycler,"Salvages materials from industrial, commercial and private establishments for resale.",government
0.7362126,6.7605805,Model,"Wears and displays clothing and accessories, and poses for photographs, paintings, sculptures and other types of art.",government
4.4031663,5.446143,Sales Demonstrator,"Displays and demonstrates goods at commercial premises, exhibitions and private homes.",government
4.4369698,5.1613183,Retail Buyer,Selects and buys goods for resale in a retail establishment.,government
0.53845996,8.321986,Stone Processing Machine Operator,"Operates machines to cut and finish stones for tiles, building blocks and facings.",government
2.1106133,5.4481654,Motion Picture Projectionist,Operates film projection and related sound reproduction equipment.,government
1.5584967,6.6412587,Sterilisation Technician,"Cleans, sterilises and packages surgical instruments and other hospital equipment, soft goods and linen in a sterilisation service facility.",government
2.138151,8.762377,Driller,"Assembles, positions and operates a drilling rig and related equipment to extract ore, liquids or gases from the earth. Registration or licensing may be required.",government
2.112746,9.638239,Miner,"Operates plant to excavate, load and transport coal, ore and rock in an underground or open-cut mine. Registration or licensing may be required.",government
1.9348661,8.939967,Shot Firer,"Assembles, positions and detonates explosives at a mining or demolition site. Registration or licensing may be required.",government
1.7169214,7.732438,Boiler or Engine Operator,"Operates and maintains stationary engines, boilers, refrigeration and airconditioning systems, and associated mechanical plant. Registration or licensing is required.",government
2.2935462,9.537721,Bulk Materials Handling Plant Operator,"Operates plant to load, unload, move, store and stack bulk materials such as grain, sugar and mineral ore.",government
1.9273473,9.260008,Concrete Pump Operator,"Operates plant to pump, cast and mould concrete. Registration or licensing is required.",government
1.8155282,7.022679,Railway Signal Operator,"Controls the movement of trains, and assembles and disassembles trains within a marshalling yard.",government
2.6322148,8.981897,Waste Water or Water Plant Operator,"Operates plant to store, distribute and treat water including purifying water for human consumption and removing wastes from sewage.",government
2.4841378,9.628327,Weighbridge Operator,Operates weighing plant and issues measurement tickets which provide readings of vehicle and livestock weight.,government
2.7686539,9.43699,Agricultural and Horticultural Mobile Plant Operator,"Operates agricultural and horticultural plant to clear and cultivate land, and sow and harvest crops. Registration or licensing may be required.",government
2.4587655,9.414171,Earthmoving Plant Operator  ,"Operates a range of earthmoving plant to assist with building roads, rail, water supply, dams, treatment plants and agricultural earthworks. Registration or licensing is required.",government
2.018563,9.55445,Backhoe Operator,"Operates a backhoe and attachments to excavate, break, drill, level and compact earth, rock and other material. Registration or licensing is required.",government
1.9563851,9.4374895,Bulldozer Operator,"Operates a bulldozer using blades and other attachments to gouge out, level and move materials in construction, forestry, mining and other projects. Registration or licensing is required.",government
2.0377312,9.636219,Excavator Operator,"Operates heavy excavation plant equipment to excavate, move and load earth, rock and rubble. Registration or licensing is required.",government
1.8197799,9.3237,Grader Operator,Operates a grader to spread and level materials in construction projects. Registration or licensing is required.,government
2.0357897,9.69262,Loader Operator,"Operates a motorised loader to move and load soil, rock and other material. Registration or licensing is required.",government
2.1706274,9.309506,Paving Plant Operator,"Operates plant to spread and level hot bituminous paving materials and lay concrete on areas such as highways, roads and car parks. Registration or licensing is required.",government
2.0563028,9.273679,Road Roller Operator,"Operates a power-driven roller to prepare surfaces for roads, runways and car parks. Registration or licensing is required.",government
1.6627346,7.114305,Train Driver,Drives a train to transport passengers and freight on railways. Registration or licensing is required.,government
1.6950191,8.728867,Builder's Labourer,Performs routine tasks in erecting and repairing structures and facilities on building and construction sites and in factories producing prefabricated building components.,government
1.0502998,8.624382,Building Insulation Installer,"Installs and applies insulating material, such as foam, granules, foil, solar film, batts and blankets, to walls, floors, windows and ceilings of buildings to insulate against heat, cold, air, sound and moisture. Registration or licensing may be required.",government
2.393403,6.265328,Home Improvement Installer,"Installs functional and decorative home improvements such as awnings, curtains, blinds, security screens, garage doors, exterior cladding, shower screens and prefabricated windows and doors. Registration or licensing may be required.",government
1.4396145,9.219905,Construction Rigger,"Assembles and installs rigging gear, such as cables, ropes, pulleys and winches, to lift, lower, move and position equipment, structural steel and other heavy objects. Registration or licensing may be required.",government
1.2366933,8.949899,Scaffolder,"Erects and dismantles scaffolding to provide work platforms on building and industrial sites, and for temporary structures such as staging and seating. Registration or licensing may be required.",government
1.3112689,9.179429,Steel Fixer,Positions and secures steel bars and steel mesh in concrete forms to reinforce concrete structures. Registration or licensing may be required.,government
1.2191595,9.167786,Structural Steel Erector,Erects and dismantles structural steel frames of buildings and other structures. Registration or licensing may be required.,government
1.8907222,9.541759,Crane Chaser,"Slings cranes and winches, and directs the movement of loads ensuring loads do not exceed lifting capacities.",government
2.3193226,8.768727,Driller's Assistant,"Performs routine tasks in setting up, operating and dismantling drilling sites for extracting oil, gas, mineral ore or water.",government
0.17983583,7.4955273,Lagger,"Applies insulating materials, such as felt, fibreglass, polyurethane and cork, to pipes, steam generators, process vats and ducting, and secures insulation with wire, wire netting, staples, metal strapping and using welding torches.",government
2.300846,8.983473,Mining Support Worker,"Performs routine tasks in mining and mineral ore treating operations such as assembling, operating and dismantling mining equipment, taking ore, rock and dust samples, and mixing ore treating chemicals and catalysts.",government
0.07174111,7.770022,Meat Boner and Slicer,"Trims and cuts meat from bones, sides and carcasses.",government
2.764146,9.879796,Slaughterer,"Stuns and kills livestock, and prepares carcasses for further processing by removing internal organs and hides.",government
3.1661415,5.986096,Product Examiner,Examines products to ensure conformity to specifications and standards of presentation and quality.,government
3.1582816,6.0465426,Product Grader,Grades primary produce by evaluating individual items or batches against established standards and records results.,government
3.033484,6.0573277,Product Tester,"Collects product samples, conducts tests to determine quality of produce and maintains records of results.",government
2.435263,9.048678,Chemical Plant Worker,"Performs routine tasks in a chemical processing plant such as delivering materials to processing areas, dumping ingredients into hoppers, operating machines to heat, cool and agitate chemical solutions, filling and fastening covers on containers, and attaching labels and information on products.",government
2.8596752,8.232185,Recycling Worker,"Performs routine tasks in a recycling facility such as sorting, packing and storing plastics, glass, paper, metals and other recyclable materials which have been collected from household, commercial and industrial premises in preparation for use in creating new products.",government
3.4703355,9.4909115,Forestry Worker,"Assists with cultivating, maintaining and protecting forests. Registration or licensing may be required.",government
3.6347535,9.589962,Logging Assistant,"Assists with logging, felling and sawing of trees in forests.",government
3.514153,9.604988,Tree Faller,"Fells trees in forests, and trims and saws them into logs. Registration or licensing may be required.",government
3.132485,7.5208006,Hunter-Trapper,"Hunts, traps and shoots animals for food, pelts, research and for pest control. Registration or licensing may be required.",government
3.2318637,7.5901346,Pest Controller,"Applies pest management techniques to control invertebrate and insect pests inside and outside domestic, commercial and industrial premises. Registration or licensing is required.",government
2.0097713,8.408982,Deck Hand,Performs maintenance and lookout tasks aboard a ship.,government
2.465969,8.822725,Fishing Hand,"Catches fish and other sea creatures using nets, pots, lines and traps in ocean and inland waters.",government
0.81106615,7.2623415,Autoglazier,Repairs and replaces windscreens and side and rear glass in motor vehicles.,government
0.8843239,7.352043,Tyre Fitter,"Fits, repairs and replaces tyres on motor vehicles.",government
1.5679475,7.12566,Bicycle Mechanic,"Repairs and adjusts bicycles, and assembles bicycle kits.",government
